مستشفى,Hospital
مستشفيات,Hospitals
مسجد,Mosque
مساجد,Mosques
مدرسة,School
مدارس,Schools
عيادة,Clinic
عيادات,Clinics
حضانة,Nursery
حضانات,Nurseries
منزل,House
منازل,Houses
بيت,House
بيوت,Houses
مسكن,Residence
مساكن,Residences
الاعمال الخيرية,Charity
خيري,Charitable
خيرية,Charitable (f.)
العقارات,Real Estate
وظائف الإسعافات الأولية,First-aid posts
مركز الأسنان,Dental Center
مراكز الأسنان,Dental Centers
مركز الطبية,Medical Center
المراكز الطبية,Medical Centers
مركز الطبية العامة,General Medical Centrer
المراكز الطبية العامة,General Medical Centres
تطوير,Development
إعادة الإعمار,Reconstruction
بنية تحتية,Infrastructure
هبة,Donation
حملة إعادة الإعمار,Reconstruction Campaign
مركز الدكتور ناجي جان صفا,Advanced BMI Weight Loss Clinic
مستشفى الحياة,Al Hayat Hospital
مستشفى الهيكل,Al Haykal hospital
مستشفى الحكمة,Al Hikmeh Hospital
مستشفى الايمان,AL Iman Hospital
مستشفى الجنوب,Al Janoub Hospital
مستشفى النجدة,Al Najde Hospital
مستشفى الوطنى,AL Watani Hospital
مسجد العطار,Al-Attar Mosque
مسجد البرتاسي,Al-Burtasi Mosque
مسجد المجيدية,Al-Majidiyyeh Mosque
مستشفى جمعية المقاصد الخيرية الإسلامية بالقدس,Al-Makassed Islamic Charitable Society Hospital Jerusalem
مستشفى المظلوم,Al-Mazloum Hospital
الجامع العمري الكبير,Al-Omari Grand Mosque
مستشفى السلام,AL-Salam Hospital
مسجد التوبة,Al-Tawbat mosque
مسجد العويسات,Al-Uwaysiyat Mosque
مستشفى علاء الدين,Alaeddine Hospital
المركز الطبي للجامعة الأمريكية في بيروت,American University of Beirut Medical Center
مركز بعقلين الطبي,Baakleen Medical Center
مستشفى بهمان,Bahman Hospital
مستشفى بيروت الدولي,Beirut International Hospital
مستشفى بيت شباب,Beit Chabab Hospital
مستشفى بيوت العام,Beiut General Hospital
مركز بلفيو الطبي,Bellevue Medical Center
مجموعة بخازي الطبية,Bikhazi Medical Group
مستشفى بهانس,Centre Hospitalier de Bhannes
المستشفى الشمالي,Centre Hospitalier du Nord
مستشفى الجامعة نوتردام ديس سيكورس,Centre Hospitalier Universitaire Notre Dame des Secours
مستشفى شهيب الدولي عاليه,Chehayeb International Hospital Aley
مركز سرطان الاطفال - لبنان,Children's Cancer Center Lebanon
مستشفى شتورة,Chtaura Hospital
مركز كليمنصو الطبي,Clemenceau Medical Center
عيادة المشرق,Clinique du Levant
مستشفى دار العجزة الاسلامية,Dar Al Ajaza Al Islamia Hospital
مستشفى الدكتور رزق,Dr Rizk Hospital
مستشفى د. احمد المصري,Dr. Ahmad El Masri Hospital
مستشفى عين وزين,Ein w Zein Hospital
مستشفى الكورة,El Koura Hospital
مسجد الأمير عساف,Emir Assaf Mosque
مسجد الأمير منذر,Emir Munzer Mosque
مسجد فخر الدين,Fakhreddine Mosque
مسجد الفاتح,Fatih Mosque
مستشفى غندور,Ghandour Hospital
مركز غريوس الطبي,Gharios Medical Center
مستشفى حمود المركز الطبي الجامعي,Hammoud Hospital University Medical Center
مستشفى حمود المركز الطبي الجامعي,Hammoud Hospital University Medical Center
مستشفى حيرام,Hiram Hospital
مستشفى ابو جودة,Hôpital Abou Jaoudeh
مستشفى راهبات الوردية (حداد),Hopital Des Soeurs Du Rosaire (Haddad)
مستشفى الدكتور جورج معربس,Hopital Dr. Georges Moarbes
مستشفى حايك,Hôpital Hayek
المستشفى اللبناني الجعيتاوي,Hôpital Libanais Geitaoui
المستشفى اللبناني الجعيتاوي بيروت,Hopital Libanais Geitaoui Beyrouth
مستشفى ليبانو الفرنسي,Hôpital Libano Français
مستشفى سرحال,Hôpital Serhal
مستشفى يوسف رحبان,Hôpital Youssef Rahban
مستشفى عكار رحال,Hospital Akkar Rahal
مستشفى ألبرت هيكل,Hospital Albert Haykel
مستشفى الكورة,Hospital AlKoura
مستشفى جامعة ديو دي فرانس جامعة سانت جوزيف,Hotel Dieu de France Centre Hopitalier Universitaire Universite Saint Joseph
فندق ديو دي فرانس,Hotel-Dieu De France
فندق ديو فرنسا,Hôtel-Dieu de France
المستشفى الإسلامي الخاص,Islami Private Hospital
المستشفى الاسلامي العام,Islami Public Hospital
مستشفى جبل عامل,Jabal Amel Hospital
مستشفى كامل الوطني,Kamil's National Hospital
مستشفى خوري العام,Khoury General Hospital
مركز أطباء مستشفى خوري العام,Khoury General Hospital Doctors Center
مستشفى الكورة هوبيرال الكورة,Koura Hospital Hopiral Al Koura
المركز الطبي للجامعة اللبنانية الأميركية مستشفى رزق,LAU Medical Center-Rizk Hospital
المستشفى اللبناني الايطالي,Lebanese Italian Hospital
مستشفى القلب اللبناني,Lebanon Heart Hospital
مستشفى المقاصد العام,Makassed General Hospital
جامع المنصوري الكبير,Mansouri Great Mosque
مستشفى ملكي,Melki Hospital
عيادة الشرق الاوسط لليزر,Middle East Laser Clinic
مسجد محمد الأمين,Mohammad Al-Amin Mosque
مستشفى منى,Monla Hospital
مستشفى جبل لبنان,Mount-Lebanon Hospital
مستشفى النبطية الحكومي,Nabatiye Governmental hospital
مستشفى مظلوم الجديد,New Mazaloum hospital
مستشفى نيني,Nini Hospital
سيدتنا مستشفى البحرية,Notre dame maritime hospital
مستشفى دام لدينا,Notre Damme Hospital
مستشفى رفيق الحريري الجامعي,Rafik Hariri University Hospital
مستشفى رفيق الحريري الجامعي - مستشفى جامعة بيروت الحكومي,Rafik Hariri University Hospital Beirut Governmental University Hospital
مستشفى القلب المقدس,Sacred Heart Hospital
مستشفى الساحل,Sahel Hospital
مستشفى سانت تشارلز,Saint Charles Hospital
مستشفى سانت جورج,Saint George Hospital
مستشفى سانت جورج المركز الطبي الجامعي,Saint George Hospital University Medical Center
مستشفى سانت جورج,Saint Georges Hospital
مستشفى القديس يوسف,Saint Joseph Hospital
مستشفى سانت معارك,Saint Maaraqe Hospital
مستشفى سيدة زغرتا,Saydet Zgharta Hospital
مستشفى سانت تريز,St Therese Hospital
مستشفى تل شيحا,tal chiha hospital
مستشفى تنورين الحكومي,Tannourine Governmental hospital
مستشفى تاتاري,Tatari Hospital
مسجد تايال,Taynal Mosque
مستشفى طراد,Trad hospital
المركز الطبي الجامعي - مستشفى رزق,University Medical Center-Rizk Hospital
مستشفى الزهراء الجامعي,zahraa university hospital
