sentence,url,word
"But the cross-border subterranean network is merely one manifestation of the threat Hezbollah poses to Israel. Observers say that thanks to significantly bolstered manpower, resources and fighting experience, the Lebanese militant group has strengthened considerably since its 2006 war with the Jewish state.",https://www.france24.com/en/20181219-iran-israel-hezbollah-tunnels-missiles-lebanon-syria-nasrallah,Station
"A key element behind this is the fact that “Hezbollah is now way better equipped, so it has the capabilities to create destruction on a completely different scale from what we saw in 2006,” added Yossi Mekelberg, a Middle East specialist at Chatham House think-tank and Regent’s University London, in an interview with FRANCE 24.",https://www.france24.com/en/20181219-iran-israel-hezbollah-tunnels-missiles-lebanon-syria-nasrallah,House
"In September, Israeli strikes hit a weapons depot by Damascus airport, targeting a warehouse belonging to Hezbollah, the monitor said.",https://www.france24.com/en/20180109-israeli-air-strikes-rockets-hit-syria-hezbollah,House
"In September, Israeli strikes hit a weapons depot by Damascus airport, targeting a warehouse belonging to Hezbollah, the monitor said.",https://www.france24.com/en/20180109-israeli-air-strikes-rockets-hit-syria-hezbollah,Airport
"Ce n’est pas la première fois qu’une miss America est la cible de messages racistes. En 2010, Rima Fakih, une jeune femme d’origine libanaise, a dû faire face aux mêmes manifestations de haine une fois couronnée, certains allant même jusqu’à l’accuser de militer … au Hezbollah.",https://www.france24.com/fr/20130916-deferlante-tweets-racistes-apres-election-une-miss-america-origine-indienne,Station
"La télévision d'État a diffusé une interview d'un soldat sur place affirmant que les insurgés se sont enfuis face aux frappes de l'armée vers le quartier nord. ""Nous continuons d'avancer [dans cette direction] pour mettre fin à toute manifestation armée"", a expliqué le soldat. Il a également assuré que l'armée avait ""laissé le front nord-ouest pour permettre aux habitants de sortir"", ce que démentent les militants anti-régime sur place, qui ont dénoncé le ""siège étouffant imposé par le régime syrien et le Hezbollah libanais"".",https://www.france24.com/fr/20130520-qousseir-bastion-rebelles-controle-armee-hezbollah-assad-bachar-syrie,Station
"La Maison Blanche a également appelé l'Europe à agir face à la menace du Hezbollah. Le conseiller spécial du président Barack Obama pour la lutte antiterrorisme, John Brennan, probable futur chef de la CIA, a demandé aux pays européens de prendre ""des mesures préventives"" pour mettre au jour les infrastructures du Hezbollah ainsi que ses réseaux opérationnels et financiers.",https://www.france24.com/fr/20130205-attentat-bulgarie-hezbollah-israel-bourgas-terrorisme-iran-liban-chiite,Infrastructure
", visant surtout des infrastructures de l’armée de Bachar al-Assad et des convois qu’elle soupçonne de transporter des cargaisons d’armes sensibles au Hezbollah libanais. L’axe Téhéran-Damas reste au cœur des préoccupations de Benjamin Netanyahou, plus que l’EI.",https://www.france24.com/fr/20150916-operation-terrestre-syrie-manuel-valls-coalition-arabe-golfe-assad-etat-islamique-ei,Infrastructure
" A senior Hezbollah official visiting the scene of the attack told the Hezbollah-owned Al Manar TV station that Shiite fighters would continue fighting “terrorists” in Syria. “It’s a long war between us,” he added.",https://www.france24.com/en/20151112-several-wounded-two-blasts-dahieh-southern-beirut-lebanon-hezbollah,Station
" from Assad’s regime and has hinted that members of his movement are fighting alongside the Syrian military in the regions near the Lebanese border. ""We will not leave the Lebanese Shiites, who live around Qusair, helpless,"" he said in a televised speech on the Hezbollah TV station, Al Manar, last month.",https://www.france24.com/en/20130520-syria-country-divided-qusair-alawite-sunni-mediterranean-damascus,Station
"Both men were wounded in Wednesday's attacks, according to Syrian state TV. By Friday afternoon, Hezbollah’s al Manar TV station reported that Bekhtyar had succumbed to wounds suffered during Wednesday’s attack. That’s four of the six listed men down.",https://www.france24.com/en/20120719-syrian-security-attack-conspiracy-theories-shwakat-defence-minister-assad-damascus,Station
